1;bob;15;Junior;Hobbyist;false;false
5;John;20;Senior;Hobbyist;false;false
7;John;15;Junior;Hobbyist;false;false
8;Michael;36;Senior;Elite Swimmer;false;false
9;asd;35;Senior;Hobbyist;false;false
10;sdf;345;Senior;Elite Swimmer;false;false
11;dfh;443;Senior;Elite Swimmer;fgjf;dfg;false;false
12;fgsfd;34;Senior;Hobbyist;false;false
13;Mikkel;34;Senior;Elite Swimmer;Patrick;Butterfly, Crawl, Freestyle;false;false
14;Mikkel;34;Senior;Elite Swimmer;Fritz;Butterfly;false;false
15;Mikkel;21;Senior;Elite Swimmer;Fritz;Freestyle;false;false
